"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"MACHINE LEARNING","MACH LEARN","SPRINGER","0885-6125","1573-0565","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","34,030","2.9","Q2","0.66","50.96"%,
"International Journal of Multimedia Information Retrieval","INT J MULTIMED INF R","SPRINGER","2192-6611","2192-662X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","866","2.9","Q2","0.56","9.68"%,
"Applied Computational Intelligence and Soft Computing","APPL COMPUT INTELL S","WILEY","1687-9724","1687-9732","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","668","2.9","Q2","0.41","99.32"%,
"Data-Centric Engineering","DATA-CENTRIC ENG","CAMBRIDGE UNIV PRESS","N/A","2632-6736","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","415","2.8","Q3","0.64","100"%,
"Frontiers in Neurorobotics","FRONT NEUROROBOTICS","FRONTIERS MEDIA SA","1662-5218","1662-5218","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,063","2.8","Q3","0.59","100"%,
"IEEE Transactions on Games","IEEE T GAMES","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2475-1502","2475-1510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","929","2.8","Q3","0.59","8.92"%,
"JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS","J INTELL ROBOT SYST","SPRINGER","0921-0296","1573-0409","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,941","2.8","Q3","0.57","39.62"%,
"International Journal of Data Science and Analytics","INT J DATA SCI ANAL","SPRINGERNATURE","2364-415X","2364-4168","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,334","2.8","Q3","0.53","31.55"%,
"NEURAL PROCESSING LETTERS","NEURAL PROCESS LETT","SPRINGER","1370-4621","1573-773X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,499","2.8","Q3","0.47","27.06"%,
"International Journal of Machine Learning and Cybernetics","INT J MACH LEARN CYB","SPRINGER HEIDELBERG","1868-8071","1868-808X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,556","2.7","Q3","0.5","4.67"%,
"Evolving Systems","EVOL SYST-GER","SPRINGER HEIDELBERG","1868-6478","1868-6486","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,201","2.7","Q3","0.42","5.24"%,
